ID,Label,Farm,DOC,Type,Month,Year,Date,Conductivity (µs),Ammonium (NH4) ,NH4-N (mg/L),Nitrate (NO3),NO3-N (mg/L), Nitrite (NO2),NO2-N (mg/L), Phosphate (mg/L),Sodium (mg/L) ,Chloride (mg/L),Calcium (mg/L),DOC (mg/L),TOC (mg/L),TC (F),TC (UF),IC (F),IC (UF),TN (F),TN (UF),Particle size (µm),Absorbance (254 nm)
283,Luftaren,Umea,12/13/2024,Inlet,December ,2024,Dec-24,44.0000,n.a.,0.0000,0.3300,0.0990,n.a.,0.0000,n.a.,-5.0500,1.7600,n.a.,8.1020,6.3930,12.5200,10.8800,4.4210,4.4920,0.0830,0.0748,93.1307,0.1470
286,Smolthall,Umea,12/13/2024,Tank,December ,2024,Dec-24,38.0000,0.0200,0.0156,0.3100,0.0930,n.a.,0.0000,n.a.,-5.5100,1.3600,n.a.,8.0340,6.3540,12.2000,10.5800,4.1710,4.2250,0.0000,0.0000,3138.9228,0.1450
289,Luftaren,Umea,12/20/2024,Inlet,December ,2024,Dec-24,39.0000,0.0400,0.0312,0.3500,0.1050,n.a.,0.0000,n.a.,-5.5400,1.3800,n.a.,7.3210,5.4790,11.5600,9.7960,4.2440,4.3170,0.0749,0.0613,104.1915,0.1330
292,Smolthall,Umea,12/20/2024,Tank,December ,2024,Dec-24,38.0000,0.0200,0.0156,0.3200,0.0960,n.a.,0.0000,n.a.,-5.5600,1.3500,n.a.,10.4100,8.9730,15.0200,13.5000,4.6070,4.5260,0.6180,0.5843,4.8705,0.1340
295,Luftaren,Umea,12/26/2024,Inlet,December ,2024,Dec-24,40.0000,0.0400,0.0312,0.3700,0.1110,n.a.,0.0000,n.a.,-5.5300,1.3400,n.a.,7.2290,5.6910,11.3300,10.0300,4.0990,4.3400,0.1663,0.0000,9.7261,0.1390
298,Smolthall,Umea,12/26/2024,Tank,December ,2024,Dec-24,39.0000,0.0300,0.0234,0.3400,0.1020,n.a.,0.0000,n.a.,-5.5400,1.3300,n.a.,7.2380,5.4630,11.6100,9.7610,4.3730,4.2970,0.0000,0.0000,2.3698,0.1380
301,Luftaren,Umea,01/02/2025,Inlet,January ,2025,Jan-25,39.0000,0.0200,0.0156,0.3600,0.1080,n.a.,0.0000,n.a.,-5.5600,1.3300,n.a.,7.0480,5.5260,11.4000,9.8640,4.3480,4.3380,0.0413,0.0000,0.4256,0.1320
304,Smolthall,Umea,01/02/2025,Tank,January ,2025,Jan-25,39.0000,0.0300,0.0234,0.3300,0.0990,n.a.,0.0000,n.a.,-5.5600,1.3400,n.a.,7.0090,5.3380,11.3100,9.6640,4.3000,4.3260,0.0000,0.0000,0.2774,0.1290
307,Luftaren,Umea,01/10/2025,Inlet,January ,2025,Jan-25,37.0000,0.0300,0.0234,0.3500,0.1050,n.a.,0.0000,n.a.,-5.6500,1.3200,n.a.,7.0820,5.1830,11.3100,9.4250,4.2240,4.2420,0.1166,0.0381,0.3642,0.1200
310,Smolthall,Umea,01/10/2025,Tank,January ,2025,Jan-25,37.0000,n.a.,0.0000,0.3700,0.1110,n.a.,0.0000,n.a.,-5.5900,1.3500,n.a.,6.6620,5.0970,10.8900,9.4290,4.2310,4.3330,0.0000,0.0000,4.0684,0.1230
313,Luftaren,Umea,01/16/2025,Inlet,January ,2025,Jan-25,26.0000,n.a.,0.0000,0.0210,0.2940,n.a.,0.0000,n.a.,0.0265,0.0365,0.0796,4.5870,2.7370,7.0430,5.2930,2.4560,2.5560,0.1139,0.0000,0.4307,0.1460
316,Smolthall,Umea,01/16/2025,Tank,January ,2025,Jan-25,40.0000,n.a.,0.0000,0.0230,0.3220,n.a.,0.0000,n.a.,0.0487,0.0530,0.1163,8.3080,5.9250,12.0500,9.8070,3.7390,3.8820,0.5006,0.2361,165.0263,0.3300
319,Luftaren,Umea,01/23/2025,Inlet,January ,2025,Jan-25,20.0000,n.a.,0.0000,0.2300,0.0690,n.a.,0.0000,n.a.,-6.4000,0.7800,4.0900,5.5260,3.5180,7.8350,5.8600,2.3090,2.3420,0.0000,0.0000,4.9879,0.0870
322,Smolthall,Umea,01/23/2025,Tank,January ,2025,Jan-25,37.0000,n.a.,0.0000,0.3000,0.0900,n.a.,0.0000,n.a.,-5.7800,1.1500,4.4500,8.6690,5.9540,12.4600,9.5520,3.7920,3.5980,0.0000,0.0000,29.8160,0.1230
325,Luftaren,Umea,01/30/2025,Inlet,January ,2025,Jan-25,39.0000,n.a.,0.0000,0.3100,0.0930,n.a.,0.0000,n.a.,-5.6500,1.2100,3.9100,5.9250,5.3610,10.1200,9.3640,4.1940,4.0030,0.0761,0.0000,130.4472,0.1250
328,Smolthall,Umea,01/30/2025,Tank,January ,2025,Jan-25,33.0000,n.a.,0.0000,0.2700,0.0810,n.a.,0.0000,n.a.,-5.9600,1.0500,4.4300,6.7630,4.9210,10.3500,8.2890,3.5900,3.3680,0.0000,0.0000,0.2798,0.1110
331,Luftaren,Umea,02/07/2025,Inlet,Febraury,2025,Feb-25,38.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,-5.5900,1.3200,4.5200,6.9390,5.9680,11.0900,9.7880,4.1550,3.8200,0.0000,0.0000,183.4660,0.1230
334,Smolthall,Umea,02/07/2025,Tank,Febraury,2025,Feb-25,39.0000,n.a.,0.0000,0.3600,0.1080,n.a.,0.0000,n.a.,-5.5700,1.3100,4.4300,7.7280,7.2040,12.0100,11.4500,4.2840,4.2410,0.0000,0.0000,1.4679,0.1250
337,Luftaren,Umea,02/13/2025,Inlet,Febraury,2025,Feb-25,39.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,-5.6500,1.3600,4.5700,6.2670,5.7650,10.6300,9.9830,4.3630,4.2180,0.0505,0.0000,0.7652,0.1130
340,Smolthall,Umea,02/13/2025,Tank,Febraury,2025,Feb-25,40.0000,n.a.,0.0000,0.3500,0.1050,n.a.,0.0000,n.a.,-5.5700,1.3900,4.6600,5.7950,6.0280,10.1400,10.3400,4.3440,4.3140,0.0000,0.0000,65.0474,0.1180
343,Luftaren,Umea,02/20/2025,Inlet,Febraury,2025,Feb-25,39.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,-5.6000,1.3900,4.2700,4.2640,5.1070,8.6350,9.4120,4.3710,4.3050,0.0000,0.0000,0.0671,0.1090
346,Smolthall,Umea,02/20/2025,Tank,Febraury,2025,Feb-25,36.0000,n.a.,0.0000,0.2800,0.0840,n.a.,0.0000,n.a.,-5.8000,1.2500,4.6600,4.7390,5.1590,8.8240,9.1190,4.0860,3.9600,0.0000,0.0000,0.0017,0.1040
349,Luftaren,Umea,02/27/2025,Inlet,Febraury,2025,Feb-25,41.0000,n.a.,0.0000,0.3400,0.1020,n.a.,0.0000,n.a.,-5.5100,1.4600,4.6200,5.2140,5.8920,9.7140,10.2500,4.5000,4.3550,0.0000,0.0000,37.0567,0.1150
352,Smolthall,Umea,02/27/2025,Tank,Febraury,2025,Feb-25,41.0000,n.a.,0.0000,0.3300,0.0990,n.a.,0.0000,n.a.,-5.5500,1.4300,4.6900,5.0450,5.3380,9.5450,9.7310,4.5000,4.3930,0.0000,0.0000,22.9529,0.1150
355,Luftaren,Umea,03/06/2025,Inlet,March,2025,Mar-25,41.0000,n.a.,0.0000,0.3500,0.1050,n.a.,0.0000,n.a.,-5.4700,1.5100,4.6300,6.4280,5.5430,10.9000,9.9430,4.4760,4.4010,0.0000,0.0000,6.9203,0.1200
358,Smolthall,Umea,03/06/2025,Tank,March,2025,Mar-25,40.0000,n.a.,0.0000,0.3500,0.1050,n.a.,0.0000,n.a.,-5.4900,1.4800,4.7500,6.1320,5.3290,10.5100,9.5380,4.3780,4.2100,0.0512,0.0000,129.0913,0.1240
361,Luftaren,Umea,03/14/2025,Inlet,March,2025,Mar-25,41.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,-5.5100,1.7200,4.5700,7.2410,6.0580,11.7400,10.4000,4.4950,4.3440,0.0000,0.0000,1.9838,0.1290
364,Smolthall,Umea,03/14/2025,Tank,March,2025,Mar-25,40.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,-5.5100,1.4300,8.4900,6.4840,5.7190,10.8400,9.9700,4.3590,4.2520,0.0000,0.0000,50.0274,0.1260
367,Tråg,Sundsvall,10/16/2024,Tank,October,2024,Oct-24,60.0000,n.a.,0.0000,0.5000,0.1500,n.a.,0.0000,n.a.,-5.3400,1.9300,8.4300,8.2040,7.8480,15.6400,15.1900,7.4330,7.3450,0.2541,0.1022,41.9275,0.1600
370,Inkommande  ,Sundsvall,10/16/2024,Inlet,October,2024,Oct-24,56.0000,n.a.,0.0000,0.4800,0.1440,n.a.,0.0000,n.a.,-5.3100,1.8500,7.8900,7.2190,7.1950,14.4200,13.9700,7.2050,6.7730,0.1177,0.1299,7.9697,0.1560
373,Tråg,Sundsvall,10/25/2024,Tank,October,2024,Oct-24,55.0000,n.a.,0.0000,0.4200,0.1260,n.a.,0.0000,n.a.,-5.5100,1.7100,8.3000,7.7330,8.0000,14.4400,14.3400,6.7070,6.3430,0.1902,0.1235,37.5744,0.1640
376,Inkommande  ,Sundsvall,10/25/2024,Inlet,October,2024,Oct-24,57.0000,n.a.,0.0000,0.4400,0.1320,n.a.,0.0000,n.a.,-5.4800,1.7600,7.9400,7.9050,7.6790,14.9400,14.5500,7.0340,6.8720,0.1379,0.1195,98.7600,0.1630
379,Tråg,Sundsvall,10/30/2024,Tank,October,2024,Oct-24,57.0000,n.a.,0.0000,0.5300,0.1590,n.a.,0.0000,n.a.,-5.3400,1.8900,7.9600,7.4850,7.4970,14.2200,14.2000,6.7350,6.6980,0.1486,0.1145,42.3511,0.1510
382,Inkommande  ,Sundsvall,10/30/2024,Inlet,October,2024,Oct-24,55.0000,n.a.,0.0000,0.4900,0.1470,n.a.,0.0000,n.a.,-5.3300,1.8600,8.2300,6.9140,7.0660,13.5600,13.6200,6.6490,6.5580,0.1137,0.1162,80.7638,0.1490
385,Tråg,Sundsvall,11/07/2024,Tank,November,2024,Nov-24,59.0000,n.a.,0.0000,0.4500,0.1350,n.a.,0.0000,n.a.,-5.3700,1.8300,8.2500,7.9560,7.5460,14.9700,14.3000,7.0170,6.7540,0.1175,0.1064,0.0334,0.1560
388,Inkommande  ,Sundsvall,11/07/2024,Inlet,November,2024,Nov-24,58.0000,n.a.,0.0000,0.4700,0.1410,n.a.,0.0000,n.a.,-5.3100,1.9000,8.0500,7.8320,7.6130,14.8800,14.5300,7.0430,6.9140,0.1298,0.1250,0.4012,0.1540
391,Tråg,Sundsvall,11/11/2024,Tank,November,2024,Nov-24,56.0000,n.a.,0.0000,0.4900,0.1470,n.a.,0.0000,n.a.,-5.3200,1.9500,7.5000,7.9050,6.9140,14.6500,13.5000,6.7470,6.5820,0.1019,0.1107,267.9774,0.1500
393,Inkommande  ,Sundsvall,11/11/2024,Inlet,November,2024,Nov-24,54.0000,n.a.,0.0000,0.4300,0.1290,n.a.,0.0000,n.a.,-5.4300,1.8400,8.0700,7.6090,6.7730,13.8200,12.8900,6.2160,6.1150,0.1458,0.1334,0.2246,0.1430
396,Tråg,Sundsvall,11/14/2024,Tank,November,2024,Nov-24,58.0000,n.a.,0.0000,0.4900,0.1470,n.a.,0.0000,n.a.,-5.3400,1.8800,8.0300,7.5570,7.2890,14.5200,14.0600,6.9620,6.7710,0.1303,0.1418,91.0948,0.1490
399,Inkommande  ,Sundsvall,11/14/2024,Inlet,November,2024,Nov-24,57.0000,n.a.,0.0000,0.4900,0.1470,n.a.,0.0000,n.a.,-5.3200,1.8900,7.7200,7.9100,7.2200,14.7000,14.0100,6.7880,6.7860,0.1327,0.1430,1.1706,0.1470
402,Tråg,Sundsvall,11/20/2024,Tank,November,2024,Nov-24,56.0000,n.a.,0.0000,0.5300,0.1590,n.a.,0.0000,n.a.,-5.2800,1.9200,7.8000,6.9270,7.6780,13.3400,13.9000,6.4120,6.2170,0.1792,0.0692,0.3253,0.1490
405,Inkommande  ,Sundsvall,11/20/2024,Inlet,November,2024,Nov-24,56.0000,n.a.,0.0000,0.4900,0.1470,n.a.,0.0000,n.a.,-5.3100,1.8900,5.3300,7.1950,6.6040,13.8200,13.0100,6.6240,6.4030,0.1398,0.1102,46.0382,0.1430
408,Tråg,Sundsvall,11/26/2024,Tank,November,2024,Nov-24,36.0000,n.a.,0.0000,0.3300,0.0990,n.a.,0.0000,n.a.,-5.9800,1.3500,5.3600,5.6080,5.4270,10.1300,9.8330,4.5190,4.4060,0.0000,0.0000,0.2841,0.1090
411,Inkommande  ,Sundsvall,11/26/2024,Inlet,November,2024,Nov-24,36.0000,n.a.,0.0000,0.3000,0.0900,n.a.,0.0000,n.a.,-6.0900,1.2000,7.5900,6.1800,5.9120,10.7300,10.4900,4.5480,4.5820,0.0000,0.0000,85.2674,0.1110
415,Tråg,Sundsvall,12/16/2024,Tank,December ,2024,Dec-24,54.0000,n.a.,0.0000,0.4700,0.1410,n.a.,0.0000,n.a.,-5.4000,1.8300,7.9100,7.4040,7.2640,13.9000,13.5900,6.4920,6.3280,0.1307,0.1025,5658.2447,0.1410
418,Inkommande  ,Sundsvall,12/16/2024,Inlet,December ,2024,Dec-24,55.0000,n.a.,0.0000,0.4900,0.1470,n.a.,0.0000,n.a.,-5.3000,1.8800,7.6700,6.9370,6.9380,13.6500,13.5400,6.7110,6.6010,0.1259,0.1028,0.3283,0.1390
421,Tråg,Sundsvall,01/09/2025,Tank,January ,2025,Jan-25,54.0000,n.a.,0.0000,0.5000,0.1500,n.a.,0.0000,n.a.,-5.4100,1.8000,8.1000,5.9800,6.8380,12.5400,13.3600,6.5560,6.5220,0.1107,0.1104,207.5516,0.1270
424,Inkommande  ,Sundsvall,01/09/2025,Inlet,January ,2025,Jan-25,57.0000,n.a.,0.0000,0.4800,0.1440,n.a.,0.0000,n.a.,-5.2800,1.9200,7.7900,6.2560,6.5050,13.0600,13.2100,6.8070,6.7010,0.1074,0.0884,39.3378,0.1330
427,Tråg,Sundsvall,01/14/2025,Tank,January ,2025,Jan-25,55.0000,n.a.,0.0000,0.5100,0.1530,n.a.,0.0000,n.a.,-5.2900,1.9000,7.7700,6.4720,7.0590,13.2200,13.7000,6.7490,6.6460,0.1203,0.1184,0.8348,0.1390
430,Inkommande  ,Sundsvall,01/14/2025,Inlet,January ,2025,Jan-25,55.0000,n.a.,0.0000,0.5000,0.1500,n.a.,0.0000,n.a.,-5.3100,1.8800,7.5600,5.9330,6.6800,12.4900,13.3300,6.5540,6.6490,0.1084,0.1043,101.6298,0.1380
433,Tråg,Sundsvall,01/20/2025,Tank,January ,2025,Jan-25,54.0000,n.a.,0.0000,0.4800,0.1440,n.a.,0.0000,n.a.,-5.3900,1.8200,7.2900,6.6080,6.5350,13.0300,13.0200,6.4260,6.4880,0.1101,0.0950,0.0006,0.1310
436,Inkommande  ,Sundsvall,01/20/2025,Inlet,January ,2025,Jan-25,51.0000,n.a.,0.0000,0.4500,0.1350,n.a.,0.0000,n.a.,-5.5000,1.7700,7.3600,6.5880,6.1810,12.7500,12.4400,6.1660,6.2580,0.1101,0.0907,4.1518,0.1320
439,Tråg,Sundsvall,01/28/2025,Tank,January ,2025,Jan-25,52.0000,n.a.,0.0000,0.4700,0.1410,n.a.,0.0000,n.a.,-5.3100,1.9200,6.9800,6.5110,6.5300,12.6800,12.4700,6.1730,5.9360,0.1244,0.1696,0.8132,0.1420
442,Inkommande  ,Sundsvall,01/28/2025,Inlet,January ,2025,Jan-25,50.0000,n.a.,0.0000,0.4300,0.1290,n.a.,0.0000,n.a.,-5.4100,1.8200,7.5800,6.5990,6.5850,12.5200,12.8600,5.9260,6.2760,0.1804,0.1139,0.3924,0.1320
445,Tråg,Sundsvall,02/04/2025,Tank,Febraury,2025,Feb-25,53.0000,n.a.,0.0000,0.4800,0.1440,n.a.,0.0000,n.a.,-5.3500,1.8600,7.5100,6.2310,6.3330,12.5400,12.5800,6.3090,6.2490,0.1212,0.1115,-0.7638,0.1450
448,Inkommande  ,Sundsvall,02/04/2025,Inlet,Febraury,2025,Feb-25,53.0000,n.a.,0.0000,0.4200,0.1260,n.a.,0.0000,n.a.,-5.3500,1.8300,7.1500,6.8630,6.4160,13.2500,12.7000,6.3830,6.2830,0.1274,0.1050,125.6978,0.1450
451,Tråg,Sundsvall,02/11/2025,Tank,Febraury,2025,Feb-25,50.0000,n.a.,0.0000,0.4600,0.1380,n.a.,0.0000,n.a.,-5.3500,1.8400,7.1800,6.3510,6.8720,12.4800,12.9500,6.1260,6.0810,0.1376,0.1276,289.9595,0.1460
454,Inkommande  ,Sundsvall,02/11/2025,Inlet,Febraury,2025,Feb-25,49.0000,n.a.,0.0000,0.4400,0.1320,n.a.,0.0000,n.a.,-5.3700,2.0100,7.2300,7.8890,6.6630,13.7800,12.5700,5.8940,5.9090,0.0522,0.1045,0.6462,0.1480
457,Tråg,Sundsvall,02/21/2025,Tank,Febraury,2025,Feb-25,51.0000,n.a.,0.0000,0.4700,0.1410,n.a.,0.0000,n.a.,-5.3300,1.8800,7.3000,6.1730,6.2970,12.2400,12.3100,6.0700,6.0120,0.1202,0.1064,24.9978,0.1400
460,Inkommande  ,Sundsvall,02/21/2025,Inlet,Febraury,2025,Feb-25,51.0000,n.a.,0.0000,0.4800,0.1440,n.a.,0.0000,n.a.,-5.2700,2.0300,7.3300,6.7560,7.1780,12.8300,13.3200,6.0760,6.1470,0.2127,0.1667,4.4020,0.1400
463,Tråg,Sundsvall,02/25/2025,Tank,Febraury,2025,Feb-25,51.0000,n.a.,0.0000,0.3600,0.1080,n.a.,0.0000,n.a.,-5.3300,1.9400,7.3000,6.3320,6.3080,12.4300,12.4500,6.0980,6.1390,0.1108,0.1045,20.5654,0.1400
466,Inkommande  ,Sundsvall,02/25/2025,Inlet,Febraury,2025,Feb-25,52.0000,n.a.,0.0000,0.3400,0.1020,n.a.,0.0000,n.a.,-5.3400,1.9200,9.5400,6.7850,6.5770,12.8400,12.5700,6.0540,5.9910,0.1162,0.0938,67.0691,0.1450
471,Hallen,Karlskoga,01/25/2025,Tank,January ,2025,Jan-25,172.0000,0.0069,0.0966,0.0270,0.3780,n.a.,0.0000,n.a.,0.2173,0.1694,0.4419,2.3100,0.2918,22.1600,20.8900,19.8500,20.6000,0.2873,0.0873,n.a.,0.1930
474,31/1: bassäng 9: outgoing,Karlskoga,01/31/2025,Outlet,January ,2025,Jan-25,441.0000,n.a.,0.0000,2.1600,0.6480,n.a.,0.0000,n.a.,-15.4800,74.8800,1.3100,3.9990,0.8885,25.9000,26.0800,21.9000,25.1900,0.3843,0.2060,3.5965,0.0090
477,Hallen: bassäng 9,Karlskoga,02/07/2025,Tank,Febraury,2025,Feb-25,1002.0000,n.a.,0.0000,2.2800,0.6840,n.a.,0.0000,n.a.,118.3200,243.7200,1.1200,1.7390,0.9618,22.4000,24.0400,20.6600,23.0800,0.5189,0.4455,373.7990,0.0110
480,Bassäng 9 utlopp,Karlskoga,02/14/2025,Outlet,Febraury,2025,Feb-25,842.0000,n.a.,0.0000,2.0400,0.6120,n.a.,0.0000,n.a.,80.7600,194.5200,1.2500,2.1570,0.7207,23.4200,24.9200,21.2600,24.2000,0.4423,0.3945,3.5487,0.0130
483,UV Livs 22/9,Karlskoga,02/22/2025,Inlet,Febraury,2025,Feb-25,2014.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.0000,n.a.,132.4000,327.4000,0.3500,2.1110,1.2960,21.9200,23.5000,19.8100,22.2000,1.0070,0.9651,87.1409,0.0150
486,Bassäng 9 22/9,Karlskoga,02/22/2025,Tank,Febraury,2025,Feb-25,2200.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.0000,n.a.,133.0000,330.0000,0.4500,2.0240,1.3560,24.3400,14.9700,22.3200,13.6200,1.1240,0.5124,48.7248,0.0150
489,UV Livs,Karlskoga,03/01/2025,Inlet,March,2025,Mar-25,1060.0000,n.a.,0.0000,4.0000,1.2000,3.6000,0.8280,n.a.,214.0000,439.4000,1.2000,2.7830,1.4570,23.7600,24.9900,20.9700,23.5300,1.8490,1.7140,25.3060,0.0170
492,Bassäng Nr. 9,Karlskoga,03/01/2025,Tank,March,2025,Mar-25,1247.0000,n.a.,0.0000,4.2000,1.2600,4.0000,0.9200,n.a.,313.2000,553.0000,1.2100,2.4350,1.6470,25.0900,26.2500,22.6600,24.6000,2.1280,2.0350,34.5981,0.0160
495,KV.TJ,Karlskoga,03/07/2025,Inlet,March,2025,Mar-25,161.0000,0.4600,0.3588,n.a.,0.0000,n.a.,0.0000,n.a.,-6.3200,n.a.,8.6800,1.8430,1.0270,22.9700,23.4700,21.1300,22.4400,0.0323,0.0650,4.9994,0.0210
498,Bassäng. 9,Karlskoga,03/07/2025,Tank,March,2025,Mar-25,792.0000,n.a.,0.0000,3.2800,0.9840,5.2000,1.1960,n.a.,107.6800,212.3200,14.9600,2.4850,2.2260,22.1000,25.0500,19.6200,22.8200,2.9580,3.1800,0.2152,0.0220
501,KV.TJ,Karlskoga,03/14/2025,Inlet,March,2025,Mar-25,156.0000,n.a.,0.0000,0.3400,0.1020,0.1100,0.0253,n.a.,2.7800,3.8300,7.1100,1.9730,1.3180,22.4300,23.6400,20.4600,22.3200,0.0580,0.1139,-0.2502,0.0190
504,Bassäng. 9,Karlskoga,03/14/2025,Tank,March,2025,Mar-25,1123.0000,0.0300,0.0234,0.5200,0.1560,0.2000,0.0460,n.a.,5.0800,8.6300,0.3200,3.4990,2.8280,21.1100,12.8300,17.6200,10.0100,5.2880,2.7470,0.5920,0.0300
507,Intag/Luftare,Umea,03/20/2025,Inlet,March,2025,Mar-25,40.0000,n.a.,0.0000,0.3000,0.0900,n.a.,0.0000,n.a.,1.0000,1.4800,4.3700,6.4090,5.0460,10.8300,9.6130,4.4190,4.5680,0.1016,0.1080,38.2029,0.1250
508,C-damn ,Umea,03/20/2025,Tank,March,2025,Mar-25,40.0000,0.0200,0.0156,0.3000,0.0900,n.a.,0.0000,n.a.,0.9700,1.4700,4.4300,6.5720,4.9750,10.9900,9.5110,4.4190,4.5360,0.0000,0.0353,44.8366,0.1240
511,Intag/Luftare,Umea,03/27/2025,Inlet,March,2025,Mar-25,40.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,0.9100,1.6300,4.0000,6.1730,4.7700,10.4600,9.3080,4.2870,4.5380,0.0416,0.0406,25.0347,0.1230
512,C-damn ,Umea,03/27/2025,Tank,March,2025,Mar-25,40.0000,n.a.,0.0000,0.3200,0.0960,n.a.,0.0000,n.a.,1.0300,1.6000,4.4500,6.5540,5.2350,10.8700,9.8740,4.3140,4.6380,0.0000,0.0867,79.5368,0.1250
515,Intag/Luftare,Umea,04/18/2025,Inlet,April,2025,Apr-25,33.0000,n.a.,0.0000,0.2500,0.0750,n.a.,0.0000,n.a.,0.9100,1.2300,3.6100,9.1260,8.6660,12.2300,12.0300,3.1050,3.3650,0.0876,0.0950,0.4626,0.2130
516,C-damn ,Umea,04/18/2025,Tank,April,2025,Apr-25,32.0000,n.a.,0.0000,0.2300,0.0690,n.a.,0.0000,n.a.,0.9300,1.2300,3.7800,9.4390,9.1000,12.7700,12.5600,3.3280,3.4610,0.1013,0.1122,556.6730,0.2180
519,Intag/Luftare,Umea,04/24/2025,Inlet,April,2025,Apr-25,32.0000,n.a.,0.0000,0.1800,0.0540,n.a.,0.0000,n.a.,0.8900,1.1000,3.7100,9.9670,9.2800,13.1400,12.5700,3.1730,3.2910,0.0879,0.1070,0.4065,0.2360
520,C-damn ,Umea,04/24/2025,Tank,April,2025,Apr-25,32.0000,0.0100,0.0078,0.1900,0.0570,n.a.,0.0000,n.a.,0.7500,1.1500,3.2400,10.0600,8.9850,13.1900,12.2000,3.1250,3.2190,0.1151,0.0954,0.2119,0.2290
523,Intag/Luftare,Umea,05/02/2025,Inlet,May,2025,May-25,29.0000,n.a.,0.0000,0.1300,0.0390,n.a.,0.0000,n.a.,0.7100,1.1700,3.0000,10.4000,8.8540,13.3400,11.8500,2.9390,2.9960,0.0378,0.0911,0.3151,0.2260
524,C-damn ,Umea,05/02/2025,Tank,May,2025,May-25,29.0000,n.a.,0.0000,0.1600,0.0480,n.a.,0.0000,n.a.,0.7400,1.0900,3.0700,10.2000,9.2110,13.1200,12.2600,2.9220,3.0490,0.0785,0.0927,0.1761,0.2260
527,Intag/Luftare,Umea,05/08/2025,Inlet,May,2025,May-25,30.0000,n.a.,0.0000,0.1200,0.0360,n.a.,0.0000,n.a.,0.6500,1.0800,2.9700,9.5640,8.4520,12.4600,11.4000,2.8980,2.9520,0.0664,0.0492,0.0091,0.2160
528,C-damn ,Umea,05/08/2025,Tank,May,2025,May-25,30.0000,n.a.,0.0000,0.1800,0.0540,n.a.,0.0000,n.a.,0.6800,1.1000,3.2100,9.5800,8.9930,12.5400,12.0700,2.9590,3.0750,0.0425,0.0862,0.9109,0.2180
531,Intag/Luftare,Umea,05/15/2025,Inlet,May,2025,May-25,31.0000,n.a.,0.0000,0.1300,0.0390,n.a.,0.0000,n.a.,0.7200,1.0900,3.1900,9.1920,8.4210,12.1800,11.4600,2.9840,3.0360,0.0000,0.0973,0.0818,0.2050
532,C-damn ,Umea,05/15/2025,Tank,May,2025,May-25,32.0000,0.0200,0.0156,0.1400,0.0420,n.a.,0.0000,n.a.,0.6800,1.0600,2.9900,9.4460,8.6000,12.4600,11.6000,3.0130,3.0010,0.0843,0.1060,-0.1048,0.2080
535,Intag/Luftare,Umea,05/23/2025,Inlet,May,2025,May-25,32.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.7900,1.0500,3.5500,8.5260,6.9660,11.8200,10.3800,3.2920,3.4150,0.0000,0.0000,3.4410,0.1680
536,C-damn ,Umea,05/23/2025,Tank,May,2025,May-25,33.0000,n.a.,0.0000,0.1300,0.0390,0.1100,0.0253,n.a.,0.7400,1.1600,3.2800,8.1320,7.0600,11.5100,10.4900,3.3760,3.4330,0.0000,0.0884,2.0163,0.1670
539,Intag/Luftare,Umea,05/30/2025,Inlet,May,2025,May-25,34.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.7800,1.1100,3.9400,6.7030,5.8140,10.3500,9.6080,3.6490,3.7940,0.0000,0.0000,0.0261,0.1400
540,C-damn ,Umea,05/30/2025,Tank,May,2025,May-25,36.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.7600,1.2800,3.9400,7.7170,6.0330,11.4900,9.8300,3.7710,3.7970,0.0910,0.0000,1.1776,0.1430
543,Intag/Luftare,Umea,06/13/2025,Inlet,June,2025,Jun-25,37.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.0000,n.a.,0.7800,1.2400,4.4300,6.2230,5.0340,10.4400,9.3220,4.2140,4.2880,0.0000,0.0000,22.7600,0.1130
544,C-damn ,Umea,06/13/2025,Tank,June,2025,Jun-25,38.0000,0.1900,0.1482,0.1500,0.0450,n.a.,0.0000,n.a.,-5.7300,1.1600,4.4000,6.6760,4.4410,10.9300,8.5390,4.2530,4.0990,0.9564,0.1084,104.7807,0.1150
547,Intag/Luftare,Umea,06/19/2025,Inlet,June,2025,Jun-25,36.0000,0.2000,0.1560,0.1000,0.0300,n.a.,0.0000,n.a.,-5.8400,1.1300,4.2600,6.1980,4.3450,10.2400,8.2710,4.0450,3.9260,0.0000,0.0000,17.7137,0.1123
548,C-damn ,Umea,06/19/2025,Tank,June,2025,Jun-25,38.0000,0.1800,0.1404,0.1200,0.0360,n.a.,0.0000,n.a.,-5.8900,1.2100,4.1700,6.4540,4.6540,10.6500,8.8420,4.1970,4.1880,0.0000,0.8565,0.5552,0.1150
